_RAJ2000,_DEJ2000,S1.4
133.9770833,-0.3630556,183.9
133.9876667,6.6003611,407.1
133.9928750,-3.0567500,242.2
134.0751250,1.1122500,116.1
134.1233750,-3.9896667,208.6
134.1292917,6.5734722,462.8
134.1318333,5.1527500,101.2
134.1881667,6.3498611,130.8
134.2315417,6.2792778,120.1
134.2492917,3.6284722,160.2
134.2658333,3.6302222,185.7
134.2986250,-3.6612222,1131.0
134.3361667,6.0123611,200.9
134.3485833,3.2176111,156.0
134.4302500,3.3756667,217.5
134.4650417,-4.1698889,237.3
134.5996250,6.4041944,129.1
134.6210417,-1.1223333,117.5
134.6749583,-0.4630556,544.2
134.7980833,3.5966667,156.1
134.9035000,-1.9823889,101.5
134.9754167,-2.8776389,395.5
135.0583750,2.7883333,140.7
135.0601667,3.4021389,202.0
135.1979583,-2.4570833,222.9
135.2163750,-2.4092500,191.3
135.2707917,-2.6757222,123.2
135.3255417,3.4638333,123.8
135.3510000,2.9851944,260.5
135.3576250,-0.6174444,328.7
135.3876250,-2.3615000,191.0
135.3929167,5.6853611,182.3
135.4624167,3.0730278,369.1
135.4794167,-0.5598056,285.6
135.4947083,1.6430833,164.9
135.5135000,-0.8210556,129.3
135.5280833,0.0054444,225.8
135.5392500,-1.4983889,184.4
135.6130833,4.7195000,156.7
135.6425833,-0.3556111,111.1
135.8707083,4.1250278,111.6
135.9602500,6.4041667,309.5
135.9912917,-1.3991111,172.8
136.0121667,5.3336667,110.2
136.0297917,6.8530000,403.3
136.1479167,-1.5416667,103.2
136.1915833,2.1452778,329.6
136.2436250,6.5194444,111.3
136.2579583,2.7978611,201.0
136.2585417,-4.3578056,312.4
136.2810833,5.6213889,469.9
136.4117917,-4.3939722,443.8
136.4545000,4.1695833,188.8
136.4957500,2.9802222,122.4
136.6022917,-4.0240556,101.7
136.6573750,6.8417500,138.2
136.6708750,3.7118611,760.6
136.8335000,4.6053611,314.8
136.8585833,4.8955278,192.5
136.9360000,-3.9065556,137.9
136.9614167,4.2271111,665.1
137.0714583,-1.2935000,286.5
137.0759167,-0.9016667,128.3
137.0867500,4.8497500,299.7
137.1347917,-4.0441667,331.6
137.1785417,-1.3909444,175.6
137.2834583,0.9111944,570.4
137.2922500,1.3598889,759.7
137.3162917,3.9120278,113.6
137.4059583,3.4488333,236.5
137.4062917,1.3293611,132.8
137.4160417,2.0014444,156.6
137.4215833,0.7865556,363.0
137.4372500,-2.5250278,624.8
137.4556250,-3.6576111,222.0
137.4631667,4.7395278,192.0
137.4735417,5.9062222,153.6
137.5470417,1.0277500,225.9
137.5705833,6.9494167,124.7
137.5953750,0.3264722,318.9
137.6130000,3.8890556,114.4
137.6150417,-0.7410000,119.9
137.6495417,3.8832778,115.3
137.6917917,-4.3347222,340.3
137.7463750,3.7588611,101.3
137.8367083,-3.3637500,201.3
137.8715417,6.3143889,116.9
137.9195833,2.0877222,101.2
137.9224583,0.1838889,479.5
137.9451250,-1.0015833,145.2
138.1983333,-1.0571944,101.0
138.2022083,3.2235556,183.7
138.3912083,-0.7129167,106.2
138.4064167,3.2906389,108.5
138.4465833,4.6085556,380.0
138.5082500,5.1188333,400.7
138.6419167,-3.5110000,108.0
138.6438333,2.4549722,134.5
138.6581667,2.7666111,442.1
138.6949583,2.8817778,178.6
138.7613333,7.2175833,134.7
138.7745417,-1.9058056,132.6
138.7957500,1.5281111,100.9
138.8296250,2.4676667,347.3
138.8315417,-2.6028611,118.8
138.9008750,6.7151667,136.7
138.9072500,-4.4880000,194.4
138.9654167,0.1201944,354.5
139.0335417,0.5214444,124.6
139.0356250,-3.3277500,127.4
139.0860417,-2.7439444,521.6
139.1284583,3.9331389,135.8
139.1509167,4.6922222,147.8
139.1640833,5.4316389,127.8
139.1899167,1.0040556,166.8
139.1964583,3.8792222,185.6
139.2042500,4.1037500,181.8
139.2767500,-0.2710000,102.5
139.3305417,4.3383333,121.1
139.4078333,2.9804167,114.2
139.4248750,2.3206111,140.5
139.4345417,5.3854722,611.6
139.4391250,3.4450000,103.4
139.5004167,0.5807500,101.6
139.7270417,-0.1046944,119.1
139.7346667,3.3555833,147.3
139.8472917,3.1104444,100.0
139.8533333,5.1923611,119.9
139.8887500,5.1650278,101.7
140.0153750,1.1451667,102.5
140.1353750,-3.8556389,170.9
140.1490417,0.3917500,112.7
140.1939583,0.4697222,112.2
140.3506250,1.6428333,138.8
140.4061667,5.3874444,170.8
140.4551667,5.1122222,110.5
140.4784583,5.5943889,163.4
140.4823333,0.4721389,123.8
140.5142083,-0.7462778,104.3
140.7469583,5.3985833,266.1
140.7934167,-2.2793889,106.9
140.9163750,4.2766389,119.4
141.0550417,-2.3158056,108.0
141.0822500,-4.2662778,113.0
141.1067917,6.1296389,415.7
141.1070833,-4.3048056,262.2
141.2293333,6.1321111,208.6
141.2823333,0.3206667,735.8
141.3312083,6.0865000,349.6
141.3645833,7.4448889,104.2
141.5150417,-2.4335556,138.7
141.5825000,2.2061111,103.9
141.6537917,6.7780278,101.4
141.6851667,3.1574444,107.4
141.7415417,4.2706389,217.6
141.8561667,-2.8729444,134.4
141.9346250,1.8386944,117.6
141.9369167,2.4697500,229.6
141.9482083,3.9031944,159.3
142.0461250,2.6889444,138.0
142.0553333,5.4869444,129.6
142.1268750,-2.0829167,107.1
142.1395000,-4.1524167,147.2
142.1838333,2.2150556,105.7
142.1978333,1.2645278,121.6
142.2292917,-2.7513056,144.0
142.2362083,-0.8080833,114.3
142.2535417,5.8873333,244.7
142.2567500,-0.2293333,135.2
142.4043750,1.9729722,276.1
142.4359167,3.1553333,121.3
142.4378333,0.4555000,156.5
142.4415833,1.2429444,141.5
142.4666250,4.1864722,186.0
142.4825000,-2.5817778,119.6
142.4853333,1.8121667,248.7
142.4930000,5.5335278,170.2
142.5571667,1.8190278,397.2
142.5700417,6.2577778,191.2
142.6151667,-2.0645278,103.1
142.7176667,0.5829444,297.4
142.7592917,5.4113056,116.8
142.9260833,-0.0519722,158.3
142.9346250,6.8234167,129.1
142.9614167,-2.7768889,214.8
143.0090000,-4.1312222,267.7
143.0509583,0.7949722,189.4
143.2074583,4.6319444,136.8
143.3526667,6.0102778,102.6
143.3699167,6.8068611,113.9
143.3959583,2.0355556,100.9
143.4415000,5.0463333,100.0
143.4643333,6.2019167,109.6
143.5672500,6.8528611,365.4
143.6280417,3.0957222,310.3
143.6874583,-4.3344722,117.2
143.7415833,-2.3201111,286.3
143.7545000,7.3217222,443.8
143.8114583,1.5373056,205.0
143.8128333,0.2431667,116.7
143.8204167,2.0669167,770.3
143.8245000,-2.6848333,138.8
143.8487083,-3.4314444,128.7
143.9173750,-3.1266111,102.4
143.9522500,-2.6981944,106.8
144.0413333,5.0637778,274.8
144.1199167,-4.3300000,329.8
144.1200000,4.6114444,129.9
144.1334167,4.3696667,971.1
144.1506667,2.2504722,153.3
144.1887083,5.1578333,139.2
144.2088333,-3.1840000,102.7
144.2929583,4.8358333,479.3
144.3065000,-1.0070000,108.8
144.3164583,2.0887222,217.6
144.3657083,-4.3775000,485.4
144.3867500,6.2674444,129.1
144.4920000,2.3764444,134.4
144.5489167,-3.8992222,326.6
144.6319583,-4.3470833,202.3
144.6577083,-4.3279722,330.6
144.6841667,-3.5832500,146.9
144.7279583,3.2421111,387.8
144.7466667,4.6395000,130.5
144.7845833,2.0170278,202.4
144.8099583,4.6120000,111.1
144.8241667,-0.6039444,169.9
144.8288333,1.9972778,447.1
144.8830833,2.6204444,122.9
144.9002500,0.7695000,120.1
144.9379583,3.0740278,429.2
144.9961667,3.1501944,119.6
145.0465833,-3.4050000,116.5
145.1105417,4.3280278,129.7
145.1686250,-0.4666944,359.3
145.2134583,2.5663889,104.6
145.2922917,-0.1733611,170.0
145.3445833,-1.7169444,830.0
145.4417083,-3.3560278,346.2
145.4439583,-1.5690556,316.1
145.4531250,1.4603333,116.6
145.4967083,6.4103333,133.9
145.5126250,6.4395278,269.7
145.5645833,4.6061944,123.6
145.5915000,6.3930000,106.9
145.6004167,-0.3447500,132.5
145.7024167,4.1727222,125.7
145.7416250,-4.3394167,339.9
145.8030833,2.7243056,1331.5
145.8205417,1.0452778,234.0
145.8298333,-0.0728611,1188.9
145.8378750,1.0607778,169.2
145.8618333,2.1475556,317.8
145.9701667,3.0568889,122.5
146.1026250,-2.9723333,109.7
146.1707083,2.8041389,169.7
146.1930417,2.7975278,158.4
146.4332500,-1.8845000,267.4
146.4412500,4.5904722,183.7
146.4455417,-2.6316667,135.9
146.4843750,-1.4032222,102.3
146.5003750,6.7218056,107.5
146.5122917,7.3936111,428.5
146.5130417,-4.3383333,217.9
146.5545833,2.3727222,219.0
146.6765417,4.3167222,542.5
146.7908333,5.7069444,794.0
146.8162083,-0.7125278,229.9
146.9140833,7.4179722,2280.0
146.9358333,0.0770000,935.8
146.9469583,7.4205000,3109.1
146.9652083,5.0715278,100.9
146.9667083,7.4216389,2227.9
146.9738750,-3.6985833,385.8
146.9817500,4.5095000,161.9
